method,noise_level,psnr,ssim,avg_inference_time
tv,0.005,31.871190658638582,0.90689665,0.5865546423813393
tv,0.01,31.817888886524596,0.905395,0.7943779123240504
tv,0.05,30.229093949347476,0.83411515,0.5824624949488146
tv,0.1,26.420556101012487,0.58344346,0.6206940716710584
