method,noise_level,psnr,ssim,avg_inference_time
diffpir,0.005,15.795637992837154,0.35565957,0.6493182897567749
diffpir,0.01,16.4826401756231,0.40698782,0.641274094581604
diffpir,0.05,22.77175535893596,0.7218213,0.6383849382400513
diffpir,0.1,25.599170107805488,0.7973736,0.6382414102554321
